id,item_id,description,item_reference,locations,total_on_hand,total_expected,total_ordered,total_allocated,total_available,created_at,updated_at
1,P000001,Face-to-face clear-thinking complexity,sjQ23408K,"[3211, 24700, 14123, 19538, 31071, 24701, 11606, 11817]",262,0,80,41,141,2015-02-19 16:08:24,2015-09-26 06:37:56
2,P000002,Focused transitional alliance,nyg48736S,"[19800, 23653, 3068, 3334, 20477, 20524, 17579, 2271, 2293, 22717]",194,0,139,0,55,2020-05-31 16:00:08,2020-11-08 12:49:21
3,P000003,Cloned actuating artificial intelligence,QVm03739H,"[5321, 21960]",24,0,90,68,-134,1994-06-02 06:38:40,1999-10-13 01:10:32
4,P000004,Pre-emptive asynchronous throughput,zdN19039A,"[13355, 16352, 4428, 13212, 420, 332, 17525, 16814, 16778, 13464, 13514, 13444, 19186]",124,0,106,0,18,2005-08-23 00:48:17,2017-04-29 15:25:25
5,P000005,Stand-alone 24hour emulation,mHo61152n,"[32709, 32610, 11631, 11824, 26992, 21555, 21393, 6187, 9350, 11155, 10913, 20774, 20816, 18837, 18873, 3213, 18589]",329,0,0,85,244,2016-03-28 10:35:32,2024-05-20 22:42:05
6,P000006,Secured directional core,XsL23892A,"[17890, 13575, 13298, 183, 18747, 9569, 9380, 11151]",194,0,110,40,44,2000-09-21 23:44:28,2020-04-05 02:36:41
7,P000007,Re-engineered value-added Graphical User Interface,grn31389B,"[26505, 23985, 24102, 5439, 7988, 9547, 9815, 5442, 5941, 5782, 25901, 2242, 2251, 79]",264,0,0,22,242,1974-02-13 21:36:41,1999-12-09 21:08:50
8,P000008,Multi-layered intangible artificial intelligence,aro81493o,"[27132, 11010, 10381, 34058, 31838, 21993, 9540]",159,0,91,5,63,1986-10-17 07:19:42,1989-03-30 17:53:04
9,P000009,Visionary 3rdgeneration paradigm,UXz52251Q,"[5087, 18404, 16881, 13523, 13539, 4888, 32491, 32496]",152,0,60,0,92,2002-09-14 15:07:27,2004-03-23 20:24:55
10,P000010,Synchronized 24hour Graphical User Interface,gVK34692I,"[33701, 9441, 25521, 11287, 14490, 14242, 7471, 9498]",150,0,18,2,130,2022-08-05 02:46:34,2023-09-07 04:10:46
11,P000011,Multi-tiered methodical product,WZt09429G,"[16950, 25865, 7978, 8185, 22840, 3088, 20305, 18467, 4172, 18511]",213,0,39,117,57,2004-04-16 07:20:56,2017-05-20 20:06:48
12,P000012,Right-sized discrete website,USN48902j,"[24762, 26513, 15303, 6441, 6622, 32055, 18884]",128,0,64,0,64,2009-01-08 13:24:21,2013-08-28 22:03:18
13,P000013,Synergistic secondary utilization,aaB64234x,"[9763, 26934, 26986, 29976, 30032, 21508, 19470, 19841, 14018, 617, 11413, 11455]",260,0,48,10,202,1990-03-18 02:27:37,2004-01-03 07:09:14
14,P000014,Triple-buffered systematic portal,WFp43927r,"[4803, 4877, 10035, 16293, 5682, 34088, 27768, 2249, 2674, 27575, 11604]",301,0,52,0,249,2012-08-17 21:38:33,2020-10-27 07:59:47
15,P000015,Fundamental motivating moratorium,NaF53949W,"[16573, 20638, 16690, 16948, 16734, 20451, 20324, 32482, 32127]",156,0,25,104,27,2003-05-25 23:18:15,2008-12-09 11:32:07
16,P000016,Adaptive bandwidth-monitored infrastructure,zei23147i,"[4523, 8998, 16914, 16886, 18224, 18312]",67,0,81,37,-51,1979-04-11 04:55:54,1999-12-23 17:08:58
17,P000017,Customer-focused logistical info-mediaries,MoT21538x,"[22128, 8092, 5076, 25858, 7570, 16261, 16499, 16510]",134,0,0,106,28,2000-03-19 10:48:40,2004-02-07 03:31:41
18,P000018,Streamlined logistical infrastructure,CEk99802i,"[27082, 16780, 10445, 24873, 24766, 25616, 30139, 9147, 9173, 14209, 12993]",207,0,26,44,137,1986-02-23 01:32:58,1989-11-26 03:57:48
19,P000019,Upgradable encompassing circuit,Xbj74158q,"[18493, 15003, 4750, 5290, 7, 11924, 14573, 14314, 18475, 3493, 2978, 19081, 354, 325]",287,0,40,0,247,1996-02-05 17:17:19,2022-01-29 00:29:15
20,P000020,Customer-focused cohesive task-force,SGK13406K,"[14925, 26689, 31980, 32070, 13043, 34045, 34341, 17214, 5493, 12084, 25431, 25520, 26825]",282,0,45,114,123,2000-10-18 20:31:38,2008-09-02 20:34:48
21,P000021,Intuitive asymmetric adapter,Ulc08671U,"[5450, 18416, 20683, 17579, 29909, 29890, 4263, 32416, 26904, 6686]",222,0,57,0,165,1983-01-22 20:40:32,2020-03-08 16:52:40
22,P000022,Advanced optimal service-desk,OdK01061V,"[15923, 27468, 27350, 14767, 24554, 30509, 31256, 13329, 10009, 10186]",180,0,0,32,148,1992-09-22 18:10:19,2005-08-19 12:12:23
23,P000023,Optional multi-state data-warehouse,Rfy27706g,"[14163, 25439, 16427, 16545, 18465, 18499, 19401, 32468, 32210, 15384, 23336, 22778, 3342, 3262, 6053, 5709, 3097]",354,0,8,11,335,1995-08-27 08:20:30,2008-03-12 05:03:42
24,P000024,Programmable composite analyzer,QwK91705t,"[10450, 31803, 32067, 20004, 6667, 6644, 19194, 24938, 19431, 19116, 21969, 21963, 27071, 26955, 429, 18842, 25575, 25616, 4304, 31618, 4973]",446,0,71,71,304,1986-07-13 08:23:54,1993-08-05 13:22:14
25,P000025,Focused value-added ability,XfG15323N,"[1570, 25515, 17156, 17397, 22353, 22376, 25808, 14444, 14496, 12077, 28863, 18009, 18327, 14853]",293,0,19,1,273,1997-03-22 18:34:46,2012-08-31 04:44:32
26,P000026,Implemented attitude-oriented success,SHE10040p,"[4570, 4236, 1757, 1947, 2599, 26938, 13383, 13307, 9187, 23815, 23664]",213,0,0,44,169,1991-06-22 05:41:55,1998-11-12 08:20:52
27,P000027,Expanded real-time pricing structure,LkJ60457J,"[18412, 30743, 15548, 1120, 3957, 3532, 26564, 26649]",170,0,0,71,99,1983-11-15 01:05:33,1995-09-30 11:52:01
28,P000028,Multi-tiered local system engine,LCa23769i,"[24944, 34037, 34173, 15392, 15548, 19049, 19057, 14419, 33774, 33695, 16981, 17029, 22289, 21876, 25447, 22765, 28926, 29429, 28235, 27982]",290,0,0,38,252,1997-10-30 11:32:25,2014-01-09 21:25:15
29,P000029,Devolved executive standardization,ANd35061J,"[23791, 22778, 20807, 21043, 19164, 9023, 24327, 24542, 11417, 11306, 26638, 30445, 29569, 26922]",220,0,56,22,142,1999-02-16 08:17:32,2018-03-12 19:45:39
30,P000030,Triple-buffered explicit strategy,nir92916P,"[10706, 10356, 31932, 18613, 18564]",76,0,147,78,-149,2018-06-20 13:39:47,2020-04-22 22:36:21
31,P000031,Diverse national process improvement,hnh52235I,"[24269, 24218, 8190, 7975, 13998, 27690, 29568, 34017, 29589, 29744, 25575, 25658]",192,0,68,0,124,1986-01-27 22:42:27,2013-09-21 15:53:30
