id,name,description,created_at,updated_at
0,Tech Gadgets,,2022-08-18 07:05:25,2023-05-15 15:44:28
1,Home Appliances,,1979-01-16 07:07:50,2024-01-05 23:53:25
2,Office Supplies,,2009-07-18 08:13:40,2020-01-12 14:32:49
3,Fashion,,1990-01-04 22:40:49,2003-05-17 08:21:43
4,Footwear,,1975-09-05 04:16:40,2014-06-06 23:07:38
5,Accessories,,2015-01-22 15:52:45,2018-02-04 11:31:03
6,Home Decor,,1996-02-26 14:56:24,1996-05-04 13:58:53
7,Kitchen Essentials,,1982-03-16 12:50:40,2022-11-11 10:44:56
8,Toys & Games,,2013-10-18 01:03:16,2020-01-27 16:46:53
9,Books & Literature,,1974-09-16 09:01:13,1989-07-08 23:40:41
10,Music & Instruments,,2003-01-23 19:28:05,2010-06-17 10:46:45
11,Movies & Entertainment,,2001-04-30 23:08:15,2009-05-18 13:02:24
12,Video Games,,2016-05-15 09:57:21,2021-05-20 23:37:46
13,Sports Gear,,2003-05-05 13:08:25,2017-09-28 23:33:48
14,Outdoor Equipment,,1987-02-15 08:26:22,2018-05-02 11:46:21
15,Health & Wellness,,2003-08-25 18:14:09,2004-01-07 11:54:53
16,Beauty Products,,1984-05-24 03:01:11,2006-04-24 12:37:36
17,Personal Care,,2020-04-22 07:07:12,2021-03-08 14:48:38
18,Groceries,,1981-09-15 09:10:55,2004-04-12 16:03:22
19,Beverages,,2007-01-19 00:14:32,2012-10-30 03:13:09
20,Snacks & Confectionery,,1986-09-17 06:51:16,1999-11-12 14:53:03
21,Pet Care,,1998-12-15 03:23:09,2020-11-06 01:29:00
22,Baby Essentials,,1990-07-04 06:57:08,2007-06-21 20:26:33
23,Automotive Parts,,2023-05-04 17:46:30,2024-02-12 23:42:59
24,Tools & Hardware,,2019-10-02 16:30:31,2021-01-29 00:14:53
25,Gardening Supplies,,1991-05-29 15:13:56,1992-09-05 15:57:19
26,Office Equipment,,1993-02-03 20:25:46,1995-06-07 23:15:17
27,Cleaning Products,,1985-12-23 09:38:10,2013-07-31 16:21:06
28,Party Supplies,,1994-08-22 15:42:23,1995-03-14 15:43:02
29,Craft Materials,,2019-09-10 00:13:23,2022-09-29 18:17:21
30,Art Supplies,,1997-06-14 15:50:56,1998-11-17 02:05:09
31,Jewelry & Watches,,1971-10-14 07:58:23,1990-10-28 16:18:24
32,Bags & Luggage,,2008-07-18 04:55:41,2012-05-13 16:07:55
33,Travel Accessories,,2000-01-29 17:13:58,2004-09-30 15:55:22
34,Fitness Equipment,,1990-01-18 11:35:40,2009-05-24 17:43:27
35,Medical Supplies,,1973-11-05 14:00:29,2009-12-18 18:03:57
36,Safety Gear,,2006-11-28 04:13:15,2007-03-29 10:54:57
37,Building Materials,,1987-03-10 10:45:41,1992-03-23 06:56:14
38,Plumbing Supplies,,1989-08-01 06:30:42,2004-06-30 12:42:51
39,Electrical Components,,1994-06-30 09:21:59,1996-12-24 22:20:42
40,Lighting Solutions,,1993-07-19 11:16:48,2021-11-26 16:29:28
41,HVAC Systems,,1977-05-19 16:38:12,2002-07-20 16:33:38
42,Paint & Coatings,,1989-11-20 00:33:53,2019-07-06 23:53:06
43,Hardware & Fasteners,,1973-10-24 01:41:42,2019-02-10 12:40:38
44,Adhesives & Sealants,,2016-11-15 18:13:47,2023-10-13 06:05:27
45,Lubricants,,1989-09-22 02:33:54,2010-10-01 07:08:42
46,Packaging Materials,,1973-06-23 11:25:25,2013-06-04 10:42:44
47,Shipping Supplies,,2016-10-12 14:11:00,2023-01-04 13:40:28
48,Industrial Equipment,,2014-02-15 22:03:49,2019-10-28 05:10:36
49,Machinery,,1999-04-26 00:09:04,2008-05-22 22:21:28
50,Agricultural Tools,,1981-03-21 09:04:37,2009-05-22 13:44:32
51,Livestock Supplies,,1970-10-02 22:10:14,2006-01-07 07:04:13
52,Fishing Equipment,,1993-10-05 05:48:24,1997-12-04 17:31:11
53,Hunting Gear,,1978-07-03 22:42:45,2019-02-16 12:14:48
54,Camping Gear,,2009-08-27 00:54:30,2012-01-18 10:14:41
55,Cycling Equipment,,2006-10-17 14:29:56,2014-06-23 13:16:48
56,Motorcycle Accessories,,2001-11-29 13:34:35,2015-10-04 05:27:29
57,Marine Supplies,,2008-06-06 19:01:39,2022-12-10 15:05:08
58,Aviation Supplies,,1996-10-07 03:36:35,2007-05-31 17:39:59
59,Railroad Equipment,,1998-10-04 13:35:25,2023-12-27 21:12:05
60,Construction Tools,,1990-08-15 02:37:36,2010-01-11 11:58:00
61,Mining Equipment,,1979-09-08 17:13:59,1995-02-15 16:01:32
62,Forestry Tools,,1993-06-26 13:33:05,2014-07-21 14:10:32
63,Oil & Gas Equipment,,2004-03-20 03:58:52,2023-08-23 01:47:39
64,Renewable Energy Solutions,,1976-11-01 06:31:38,2018-10-14 08:44:33
65,Laboratory Equipment,,2022-11-17 12:31:18,2023-10-01 13:47:03
66,Scientific Instruments,,2016-07-07 18:46:30,2022-02-16 14:46:35
67,Educational Supplies,,1974-01-20 16:49:19,1979-09-03 10:10:04
68,Musical Instruments,,2021-12-25 00:04:18,2022-06-06 08:25:14
69,Sound Equipment,,2008-08-30 15:47:48,2020-09-23 15:41:24
70,Recording Gear,,2013-09-17 09:30:10,2019-08-12 09:51:02
71,Broadcast Equipment,,1988-03-13 02:15:17,2007-12-05 03:58:50
72,Photography Gear,,2007-10-01 22:09:27,2024-02-17 00:03:21
73,Video Equipment,,1992-04-17 09:57:11,2024-03-04 13:49:41
74,Surveillance Systems,,2009-10-09 05:31:07,2017-09-18 06:27:04
75,Security Solutions,,2017-06-22 04:43:44,2020-01-07 08:10:17
76,Fire Safety Equipment,,2015-09-08 10:47:11,2018-08-24 08:35:22
77,Emergency Supplies,,1973-06-13 19:46:05,2021-05-25 12:36:23
