id,name,description,created_at,updated_at
0,Laptop,,2001-11-02 23:02:40,2008-07-01 04:09:17
1,Desktop,,1993-07-28 13:43:32,2022-05-12 08:54:35
2,Tablet,,1977-05-01 00:05:04,2001-04-14 02:41:59
3,Smartphone,,2014-08-23 03:26:57,2017-09-20 11:51:15
4,Smartwatch,,1978-11-15 07:09:07,2000-04-27 16:58:55
5,Headphones,,1995-07-05 08:05:05,2010-02-04 10:11:54
6,Speakers,,2018-01-08 04:18:34,2019-10-23 04:40:53
7,Camera,,2005-08-14 13:40:58,2024-04-12 09:31:55
8,Printer,,1975-10-16 03:43:45,2024-03-07 22:30:19
9,Scanner,,1995-04-29 16:33:32,2020-07-11 22:04:08
10,Monitor,,1994-03-04 01:27:39,2016-02-29 23:42:56
11,Keyboard,,2023-02-23 21:30:47,2023-11-16 12:16:12
12,Mouse,,2006-08-26 04:20:19,2007-06-05 14:50:58
13,Router,,1991-12-28 07:55:14,2006-05-23 05:12:19
14,Modem,,1983-07-21 15:57:28,2019-01-23 02:33:51
15,External Hard Drive,,1970-08-09 15:03:12,1999-12-03 23:36:46
16,USB Flash Drive,,2015-10-11 11:11:31,2020-09-25 10:24:08
17,Memory Card,,1982-12-13 01:02:12,1991-02-02 18:03:07
18,Charger,,2010-01-01 22:07:31,2016-11-13 05:01:22
19,Battery,,1972-09-24 09:24:20,2019-06-05 01:26:08
20,Television,,2019-11-23 12:31:29,2022-12-12 23:02:23
21,Projector,,2009-12-03 07:32:52,2018-04-10 07:10:55
22,Blu-ray Player,,2012-08-02 03:26:04,2023-07-11 05:27:58
23,DVD Player,,1984-05-21 01:44:33,1997-06-17 07:47:45
24,Game Console,,1971-12-27 22:44:07,1994-12-07 02:49:41
25,VR Headset,,1986-04-18 14:24:31,2001-01-14 14:42:17
26,Fitness Tracker,,1982-01-04 06:27:30,2016-12-26 10:25:27
27,Smart Home Hub,,1972-01-24 21:09:02,1999-05-14 07:31:28
28,Smart Light,,1984-01-01 02:49:37,1993-02-07 14:09:25
29,Smart Thermostat,,2024-08-16 06:48:56,2024-09-03 12:44:47
30,Smart Lock,,2014-10-10 01:26:38,2018-07-26 20:15:40
31,Smart Doorbell,,1996-01-09 01:09:17,1998-02-26 00:42:49
32,Security Camera,,1974-10-14 21:43:17,2021-02-22 08:40:57
33,Drone,,2012-06-22 18:00:08,2018-06-30 18:26:15
34,3D Printer,,2006-12-19 18:07:49,2021-11-27 04:18:18
35,Wearable Camera,,1975-09-23 06:50:39,2006-07-06 07:30:13
36,Action Camera,,1991-03-07 21:24:14,1996-05-21 22:57:07
37,Digital Frame,,1998-02-13 21:22:45,2019-01-05 08:35:45
38,E-Reader,,2002-04-30 20:15:07,2013-03-03 21:08:57
39,Portable Speaker,,2021-09-26 17:51:38,2022-07-01 20:00:14
40,Soundbar,,2004-07-06 13:14:24,2019-09-15 08:54:45
41,Home Theater System,,2010-06-22 08:59:17,2020-05-17 04:53:31
42,Bluetooth Adapter,,2011-03-16 00:50:21,2014-10-28 15:53:00
43,Network Switch,,1979-12-26 04:39:16,2018-04-04 00:23:17
44,Access Point,,1976-06-21 09:33:55,1993-11-25 13:03:09
45,Power Bank,,2007-02-17 04:56:13,2013-06-24 00:29:39
46,Surge Protector,,2000-10-30 13:13:22,2010-04-26 13:31:42
47,Extension Cord,,2013-06-18 19:22:59,2018-02-04 23:47:39
48,Cable Organizer,,2016-09-09 22:32:43,2022-09-01 19:04:50
49,Laptop Stand,,2006-08-17 20:27:50,2013-04-30 08:34:57
50,Monitor Stand,,1994-07-12 03:11:17,1996-01-29 20:13:06
51,Desk Lamp,,2016-11-07 09:52:31,2023-05-20 19:42:06
52,Office Chair,,1973-04-01 08:13:16,2001-09-13 08:45:05
53,Standing Desk,,1995-12-26 09:52:19,2005-02-23 11:34:43
54,Filing Cabinet,,1983-09-02 13:53:11,2001-11-22 21:01:16
55,Bookshelf,,1991-12-26 13:08:14,2024-08-09 06:23:09
56,Whiteboard,,2005-03-04 19:48:18,2015-05-23 18:12:38
57,Corkboard,,1980-11-02 08:21:16,2002-07-01 20:38:41
58,Desk Organizer,,1978-02-10 19:37:08,1992-12-02 18:43:33
59,Pen Holder,,1978-12-07 14:23:24,2014-11-15 18:21:45
60,Stapler,,2011-10-27 00:09:50,2013-05-20 09:09:26
61,Paper Shredder,,1973-06-02 04:29:26,2022-04-29 22:08:23
62,Label Maker,,1986-01-29 15:49:52,2008-08-29 19:41:58
63,Laminator,,2005-11-18 17:16:01,2011-12-17 21:21:23
64,Binding Machine,,1982-01-28 18:26:49,2015-10-27 05:26:58
65,Paper Cutter,,2016-12-27 13:15:47,2017-10-19 20:12:43
66,Hole Punch,,1996-08-26 05:29:35,2021-04-14 04:25:42
67,Clipboard,,1989-11-22 10:26:03,2016-03-16 05:32:00
68,Calculator,,1999-05-12 03:14:19,2000-03-22 11:46:05
69,Notebook,,1981-03-24 13:45:58,2022-01-08 11:39:08
70,Planner,,2007-05-12 08:39:51,2013-10-09 00:30:10
71,Sticky Notes,,1984-12-14 02:06:28,2001-03-07 05:52:50
72,Highlighter,,1991-12-15 01:12:02,2023-02-25 23:43:19
73,Marker,,1995-01-17 20:28:53,1995-04-22 19:23:23
74,Pen,,2016-11-10 20:45:13,2023-10-13 08:20:32
75,Pencil,,2001-04-11 15:06:13,2012-03-15 11:59:55
76,Eraser,,2001-10-19 21:06:06,2015-01-20 04:30:01
77,Ruler,,1971-03-06 17:50:27,1973-01-20 14:42:38
78,Scissors,,2022-08-24 15:05:00,2022-11-23 15:27:01
79,Tape Dispenser,,1999-11-06 15:52:32,2018-11-19 20:01:30
80,Glue Stick,,2016-05-06 10:30:11,2021-07-04 03:12:36
81,Binder,,1970-06-02 05:42:36,1998-08-24 07:36:00
82,Folder,,2023-03-23 01:12:29,2024-01-16 20:39:48
83,Envelope,,2017-12-22 12:56:15,2021-08-15 00:40:04
84,Mailing Tube,,1999-01-06 19:02:39,2021-08-15 17:18:09
85,Packing Tape,,2019-04-18 09:07:50,2021-02-12 20:24:16
86,Bubble Wrap,,1977-08-17 19:19:02,1982-12-27 15:46:31
87,Shipping Label,,1992-03-04 21:39:05,2015-01-26 12:35:54
88,Postage Scale,,2009-07-19 08:42:14,2020-08-31 22:35:41
89,Mail Sorter,,1999-08-31 14:38:47,2014-03-11 18:41:11
90,Letter Opener,,1979-04-28 07:10:00,2007-09-01 16:47:56
91,Stamp,,1978-09-12 15:08:07,2009-12-06 16:17:26
92,Ink Cartridge,,1985-01-26 15:08:02,1996-04-05 00:09:58
93,Toner Cartridge,,1970-12-09 17:49:06,1975-09-25 18:00:16
94,Paper Tray,,1994-05-30 00:49:38,2006-10-20 23:11:29
95,Document Holder,,2004-01-30 07:55:54,2010-02-04 14:42:59
96,Monitor Arm,,1996-01-28 19:06:39,1998-06-02 12:29:02
97,Keyboard Tray,,2019-12-14 08:15:19,2021-01-05 07:53:25
98,Mouse Pad,,1998-06-07 22:24:05,2003-09-07 07:46:39
99,Wrist Rest,,2023-03-16 11:54:38,2023-12-02 07:01:00
