uid,code,description,short_description,upc_code,model_number,commodity_code,item_line,item_group,item_type,unit_purchase_quantity,unit_order_quantity,pack_order_quantity,supplier_id,supplier_code,supplier_part_number,created_at,updated_at
P000001,sjQ23408K,Face-to-face clear-thinking complexity,must,6523540947122,63-OFFTq0T,oTo304,11,73,14,47,13,11,34,SUP423,E-86805-uTM,2015-02-19 16:08:24,2015-09-26 06:37:56
P000002,nyg48736S,Focused transitional alliance,may,9733132830047,ck-109684-VFb,y-20588-owy,69,85,39,10,15,23,57,SUP312,j-10730-ESk,2020-05-31 16:00:08,2020-11-08 12:49:21
P000003,QVm03739H,Cloned actuating artificial intelligence,we,3722576017240,aHx-68Q4,t-541-F0g,54,88,42,30,17,11,2,SUP237,r-920-z2C,1994-06-02 06:38:40,1999-10-13 01:10:32
P000004,zdN19039A,Pre-emptive asynchronous throughput,take,9668154959486,pZ-7816,IFq-47R1,58,23,40,21,20,20,34,SUP140,T-210-I4M,2005-08-23 00:48:17,2017-04-29 15:25:25
P000005,mHo61152n,Stand-alone 24hour emulation,there,0943113854446,j-587-L3H,67-vxkaB7P,16,50,28,44,2,20,35,SUP347,NzG-36a1,2016-03-28 10:35:32,2024-05-20 22:42:05
P000006,XsL23892A,Secured directional core,common,6234742792174,56-BiCbU6l,SBr227,21,96,63,41,11,5,69,SUP972,hRI588,2000-09-21 23:44:28,2020-04-05 02:36:41
P000007,grn31389B,Re-engineered value-added Graphical User Interface,food,8921325725862,Sy-5906,14-CTvKx8I,15,19,49,28,1,9,31,SUP310,K-67041-PJw,1974-02-13 21:36:41,1999-12-09 21:08:50
P000008,aro81493o,Multi-layered intangible artificial intelligence,glass,8094622009598,Y-36072-IIv,zYC895,67,5,17,29,11,20,66,SUP625,orO210,1986-10-17 07:19:42,1989-03-30 17:53:04
P000009,UXz52251Q,Visionary 3rdgeneration paradigm,miss,3298088431695,E-719-m4r,81-iUuhL7e,93,86,18,1,11,23,98,SUP242,B-063-o2h,2002-09-14 15:07:27,2004-03-23 20:24:55
P000010,gVK34692I,Synchronized 24hour Graphical User Interface,science,8196931578335,zM-482907-nIu,p-69292-Xkv,47,85,75,22,6,21,11,SUP641,lAE447,2022-08-05 02:46:34,2023-09-07 04:10:46
P000011,WZt09429G,Multi-tiered methodical product,change,2884594392530,G-277-f0y,j-446-Y6j,50,85,24,27,22,12,85,SUP486,vEn-90I2,2004-04-16 07:20:56,2017-05-20 20:06:48
P000012,USN48902j,Right-sized discrete website,stand,9789654968089,FUY-33m5,s-569-s1q,50,41,95,50,8,6,100,SUP347,T-97867-MzM,2009-01-08 13:24:21,2013-08-28 22:03:18
P000013,aaB64234x,Synergistic secondary utilization,know,3947045314778,p-55709-ZSY,TRI-49q5,16,65,19,8,23,16,85,SUP309,Q-848-U7t,1990-03-18 02:27:37,2004-01-03 07:09:14
P000014,WFp43927r,Triple-buffered systematic portal,yeah,3444556741555,sEC261,42-ytXVV4r,67,31,36,17,18,10,83,SUP029,Lm-1047,2012-08-17 21:38:33,2020-10-27 07:59:47
P000015,NaF53949W,Fundamental motivating moratorium,cultural,6039750688200,Xp-0262,I-652-k1F,59,100,82,19,14,23,35,SUP986,q-54475-zyc,2003-05-25 23:18:15,2008-12-09 11:32:07
P000016,zei23147i,Adaptive bandwidth-monitored infrastructure,discussion,6561123490184,vND-89M2,mYb043,56,17,30,36,25,15,72,SUP299,K-64104-AXV,1979-04-11 04:55:54,1999-12-23 17:08:58
P000017,MoT21538x,Customer-focused logistical info-mediaries,here,5510490784984,62-KfoJB9u,b-68817-crI,69,79,15,32,9,2,17,SUP631,mQX528,2000-03-19 10:48:40,2004-02-07 03:31:41
P000018,CEk99802i,Streamlined logistical infrastructure,everybody,6215655801344,ue-762138-QDt,28-HcfNH1O,14,77,26,34,25,13,65,SUP812,ay-775429-iMl,1986-02-23 01:32:58,1989-11-26 03:57:48
P000019,Xbj74158q,Upgradable encompassing circuit,audience,2361008086198,qO-0647,jDB-00d3,42,11,38,25,1,6,27,SUP155,guL-14N2,1996-02-05 17:17:19,2022-01-29 00:29:15
P000020,SGK13406K,Customer-focused cohesive task-force,operation,1210292288171,HP-957193-eHN,nxa480,36,59,16,8,14,23,53,SUP585,rTh-24u2,2000-10-18 20:31:38,2008-09-02 20:34:48
P000021,Ulc08671U,Intuitive asymmetric adapter,return,9780891742081,BTW-15G7,TUL-33j0,73,72,76,27,23,3,41,SUP738,65-mkNsv0o,1983-01-22 20:40:32,2020-03-08 16:52:40
P000022,OdK01061V,Advanced optimal service-desk,happy,7131546193925,gJx-18N2,CEI-70J0,53,21,36,2,24,9,56,SUP023,J-059-E2q,1992-09-22 18:10:19,2005-08-19 12:12:23
P000023,Rfy27706g,Optional multi-state data-warehouse,spring,1943690845393,I-60544-FJn,Or-838829-tcv,49,68,9,18,15,16,78,SUP701,51-xVqdG8k,1995-08-27 08:20:30,2008-03-12 05:03:42
P000024,QwK91705t,Programmable composite analyzer,owner,4321147496393,v-307-F9m,wc-150862-nUc,24,59,6,30,17,9,36,SUP081,alV405,1986-07-13 08:23:54,1993-08-05 13:22:14
P000025,XfG15323N,Focused value-added ability,style,5133392677200,ox-0433,IMT500,10,44,36,19,15,9,64,SUP111,UO-4898,1997-03-22 18:34:46,2012-08-31 04:44:32
P000026,SHE10040p,Implemented attitude-oriented success,house,0017732323123,iK-159628-jdg,wLD299,74,14,72,3,23,23,71,SUP211,Z-55642-uxN,1991-06-22 05:41:55,1998-11-12 08:20:52
P000027,LkJ60457J,Expanded real-time pricing structure,though,9730049054368,60-DDjND1j,Aq-0819,43,38,10,42,23,12,37,SUP292,D-15420-SeB,1983-11-15 01:05:33,1995-09-30 11:52:01
P000028,LCa23769i,Multi-tiered local system engine,rich,1137985826604,36-PxfiF7P,A-874-S8t,81,8,14,14,5,7,7,SUP346,14-HINzZ1H,1997-10-30 11:32:25,2014-01-09 21:25:15
P000029,ANd35061J,Devolved executive standardization,standard,2641626126231,fRF390,Ml-651322-KAw,11,84,92,7,4,18,23,SUP631,gq-6237,1999-02-16 08:17:32,2018-03-12 19:45:39
P000030,nir92916P,Triple-buffered explicit strategy,policy,4041103296705,sNt258,s-364-Y7P,95,50,13,15,18,24,79,SUP489,wZl-15N4,2018-06-20 13:39:47,2020-04-22 22:36:21
P000031,hnh52235I,Diverse national process improvement,in,5271067613303,alK306,D-148-v4L,15,81,28,17,10,11,41,SUP829,u-95957-PRr,1986-01-27 22:42:27,2013-09-21 15:53:30
P000032,mvf31059a,Cross-platform solution-oriented implementation,wide,5352703894444,Qg-885667-lBv,k-218-a9F,59,32,72,8,9,10,70,SUP606,o-825-v5D,1998-02-13 12:07:44,2009-06-01 08:38:58
P000033,UEk69613y,Programmable multimedia functionalities,by,1855450019633,RMf654,SF-720607-CtF,66,23,80,22,11,18,7,SUP733,66-PcUWK6g,1989-06-21 14:08:33,1999-06-08 15:38:28
P000034,knN82911I,Reverse-engineered leadingedge groupware,human,2714630851014,gy-4260,44-ZCvDH8A,39,37,15,18,15,2,82,SUP231,NH-528393-EAT,2007-01-28 02:33:50,2019-12-16 19:38:21
P000035,rcf16819l,Distributed scalable system engine,type,2393194797572,Dfe249,pE-488659-IDd,4,33,78,1,24,19,91,SUP607,F-62850-SEH,1980-07-22 09:29:32,1982-02-13 20:06:41
P000036,hgY35861p,Implemented secondary alliance,direction,6085903888935,zmw-41F5,PSD159,51,43,19,32,11,13,75,SUP079,bwg280,1999-09-03 16:56:18,2000-05-17 15:20:25
P000037,qbV42767G,Customizable asymmetric complexity,under,9837318758696,IW-196630-IrA,Em-297560-KQp,19,96,37,4,5,7,52,SUP324,vo-548901-WtX,1991-05-02 17:23:02,1994-11-29 06:24:51
P000038,nVN14962H,Visionary directional capacity,particular,7427915266094,02-ipQvj6R,Nx-4492,90,91,20,2,3,2,64,SUP076,yH-291543-uZN,2024-04-11 23:00:12,2024-06-20 19:42:10
P000039,yyN97425d,User-centric actuating extranet,condition,3665541248297,jv-4128,OU-464716-sKS,70,2,46,46,19,22,47,SUP179,16-uuiwe6U,1971-09-23 13:12:24,2004-03-10 12:51:34
P000040,zVe06927H,Enterprise-wide contextually-based projection,page,9462999649140,tX-182080-AGn,g-758-S5m,53,29,90,26,13,7,46,SUP696,44-ZMXtc0I,2014-06-29 15:02:43,2022-07-06 02:00:25
P000041,MZn96040u,Pre-emptive bandwidth-monitored Local Area Network,bit,2133803706676,puF-39S0,Kt-823309-sAa,83,50,40,3,7,11,20,SUP813,Ss-1109,2020-05-19 01:44:53,2020-06-19 20:23:58
P000042,Isi53055s,Fully-configurable directional complexity,condition,3548057578341,y-962-h2U,WZU-02H8,53,99,2,22,17,17,76,SUP323,b-500-p6Q,1981-08-14 06:40:26,2004-02-06 18:44:00
P000043,ocP69242Y,Synergized responsive time-frame,piece,4523008351449,Ix-024671-mJE,gu-6264,6,12,2,40,13,13,30,SUP316,r-70310-mBo,1978-05-09 23:21:40,2005-11-16 21:33:08
P000044,Noc68275H,Ergonomic exuding projection,population,5296470367674,Ax-3960,w-10844-mYV,33,73,59,50,7,11,40,SUP640,HWE357,1981-08-24 22:45:13,2000-05-31 17:24:26
P000045,DIS66644c,Expanded modular hardware,unit,7239631535374,39-XJRrt9v,i-420-e6H,42,60,8,39,4,12,45,SUP461,i-29093-MNp,1980-06-19 04:06:15,2011-03-18 00:40:41
P000046,HbC18670m,Pre-emptive full-range task-force,test,2227206157569,J-242-H2z,Z-142-d7y,84,24,25,6,1,24,78,SUP986,KDC041,1997-06-24 10:45:39,2016-08-13 06:14:24
P000047,Ynj89072Q,Self-enabling local function,personal,3273699413339,WCW891,f-987-A9H,5,11,77,4,20,5,17,SUP550,YMA667,1988-12-31 23:26:39,2002-12-28 06:31:12
P000048,FjE90614s,Team-oriented impactful definition,her,7733410016363,rQ-331226-iKB,wgU-96k5,53,83,53,36,9,7,77,SUP773,bcq-67y3,1984-12-30 23:06:07,1995-11-06 05:45:38
P000049,EXB51291e,Fully-configurable disintermediate hardware,southern,3140224616971,kGS-49v4,ZbF-37L8,26,61,4,12,17,21,46,SUP300,Af-724020-Jul,1984-11-17 06:23:06,1992-09-02 22:16:12
P000050,OxO30034F,Reduced context-sensitive solution,cultural,1144060451958,sib622,z-96527-yWf,42,63,10,47,9,9,94,SUP683,HF-9070,1983-10-04 13:42:02,2010-09-25 21:54:41
P000051,jDS74559i,Visionary executive conglomeration,worker,7644205883964,j-37239-fvl,A-592-n0M,30,86,24,16,16,16,29,SUP604,20-cZBbR9j,1975-09-30 20:37:01,2011-08-12 04:33:47
P000052,yDw94517A,Down-sized impactful system engine,country,1384170123233,AX-111145-myw,mz-8827,38,42,63,18,10,10,33,SUP176,Ouy-74m3,1971-11-16 00:20:36,1981-09-25 06:07:26
P000053,zhT98204h,Compatible upward-trending moderator,election,4909646002224,oa-9245,FCN-24J3,34,38,23,8,6,6,45,SUP064,89-OLyUY1a,1980-05-20 08:57:01,1983-09-28 12:22:32
P000054,hAo78118I,Persistent exuding workforce,note,3369494233903,38-aOrlP2M,p-06677-lQF,11,75,74,31,22,6,46,SUP340,T-742-G1W,1972-06-24 22:47:00,1974-04-25 18:44:45
P000055,toW32855W,Programmable maximized benchmark,save,8853476930577,R-90814-zRr,zLU687,5,95,14,6,19,12,12,SUP965,zIR186,2022-10-31 17:30:32,2024-05-29 01:38:52
P000056,kYe78930C,Front-line solution-oriented software,way,0731790501186,Z-301-U9Z,GyO-89S5,36,76,99,1,18,20,5,SUP884,15-IBpmm5E,2003-12-30 05:46:25,2005-12-23 19:46:00
P000057,adG07218D,Synchronized bifurcated data-warehouse,late,7741126770899,R-45757-XyY,ho-8562,24,18,90,30,13,20,86,SUP236,tA-929743-FGh,1982-05-16 03:30:42,1993-04-06 02:37:21
P000058,mrW29588I,Pre-emptive zero tolerance encryption,hear,5771444302320,N-49502-Afx,gvW599,27,62,93,45,13,18,1,SUP119,j-115-p9I,2000-05-24 17:52:01,2007-06-30 19:56:22
P000059,AOw57494c,Quality-focused stable Internet solution,something,3091771885160,61-XRNss7m,Jnq374,86,52,66,32,6,16,88,SUP261,IzX-41C7,2019-07-01 20:07:00,2023-09-19 02:25:47
P000060,vNn47036D,Cross-group static knowledge user,suddenly,4360369874152,L-029-z0B,Ws-5804,81,8,28,8,7,25,31,SUP470,nhj769,1991-02-05 09:52:25,2014-03-09 08:32:56
P000061,Wnk75266W,Reduced even-keeled groupware,party,1689498998144,KVS495,N-436-x5G,24,6,8,36,8,4,59,SUP493,76-ZZeNG5n,1990-04-14 06:12:34,2020-09-22 12:32:59
P000062,Qrv20944Y,Multi-lateral neutral encoding,article,9075044327872,W-67201-daa,Q-15053-ZlX,86,46,91,47,8,7,50,SUP802,pSi675,1972-04-08 10:21:17,1986-12-29 12:35:05
P000063,Rpc86138Q,Automated uniform hierarchy,seat,2282940242049,U-11620-WiV,h-774-t8H,10,17,81,17,9,25,48,SUP804,iom578,1976-06-07 21:54:23,1993-02-25 15:46:17
P000064,MkW00164z,Customer-focused responsive protocol,majority,2339696004176,GOW-70f1,Btu910,40,31,35,8,21,9,72,SUP767,v-30569-qMA,1973-08-27 02:36:06,1996-04-23 07:38:20
P000065,KTK35851z,Mandatory didactic collaboration,must,6897144282720,zno-16T0,40-YNHGa8H,2,14,44,45,21,1,4,SUP750,SF-786989-eNE,1980-12-13 12:15:39,2008-11-24 10:10:38
P000066,xeR50277j,Balanced demand-driven monitoring,evidence,3864187559365,nEK775,zD-466707-sCA,39,39,70,22,6,19,71,SUP666,ij-2966,2001-01-07 19:54:08,2012-10-04 18:14:40
P000067,tgu41706n,Stand-alone disintermediate support,among,4104010708676,YNI-21q8,T-52881-AZR,34,31,76,37,22,20,13,SUP420,fEo264,1991-05-21 20:08:47,1994-07-04 07:29:18
P000068,mzZ71998n,Re-engineered hybrid analyzer,heart,7590597483438,Eg-4699,Kiv-52i2,84,2,2,11,21,9,50,SUP593,Y-45845-iZw,2011-06-08 22:46:37,2013-04-18 19:35:19
P000069,tdR87659H,Automated incremental parallelism,try,3754556890710,bR-313174-fWw,ouJ-71N4,62,51,77,45,5,3,92,SUP580,63-tFshg3I,2013-04-19 15:20:43,2021-04-15 17:04:22
P000070,tRP99229K,Devolved optimizing neural-net,tax,9710645587767,jCk382,JLz-98P9,72,9,55,38,24,24,38,SUP407,qW-6150,1973-05-02 11:14:49,2003-06-01 23:48:05
P000071,WfI96808X,Configurable multi-state policy,research,5430374434302,OuT-29m1,93-xQlZg0l,10,24,8,29,1,23,57,SUP398,ksE-68D9,2020-03-08 09:58:19,2021-04-05 22:00:31
P000072,tQT64701A,Advanced intangible product,buy,7707746958345,Ja-9192,GE-663772-uUc,41,81,16,42,1,8,50,SUP820,ges229,2001-11-30 13:14:12,2008-01-30 21:45:15
P000073,WsJ11116e,Distributed grid-enabled secured line,white,0047435555873,pW-8421,78-fnNYk5h,74,40,4,50,3,23,85,SUP110,62-UeSRh5p,2011-11-10 10:00:49,2018-05-05 01:12:31
P000074,JsP46718J,Organic discrete productivity,rock,7930912240481,F-273-I9y,Bbt-29E5,89,83,79,9,23,20,3,SUP874,h-342-i1Z,2021-02-15 09:29:05,2023-08-12 14:29:52
P000075,wLV89029n,Polarized maximized encoding,value,0246973741247,q-38574-cCL,WV-488407-yCc,88,87,62,43,12,5,31,SUP373,r-69699-cXP,2011-09-04 17:37:49,2014-05-12 20:43:23
P000076,ysm26541O,Advanced clear-thinking superstructure,election,4529278929500,Kqd-07a1,q-408-M8A,85,14,42,18,3,12,8,SUP597,urD-79b5,2000-01-25 15:47:38,2016-05-31 08:46:12
P000077,cAk93073x,Business-focused fresh-thinking firmware,agree,0011873420031,DS-2113,HO-6360,33,33,31,25,1,25,76,SUP587,l-42367-wpW,1996-03-01 19:25:30,2013-03-19 23:09:39
P000078,QgJ23358m,Triple-buffered maximized complexity,population,4102899048319,pgB951,X-82255-qgs,22,11,17,49,9,12,83,SUP264,Z-85597-JlV,1976-12-22 00:53:23,1987-12-20 04:29:45
P000079,rGW22969o,Digitized zero tolerance productivity,conference,7834002678522,85-YyNnw6U,Y-357-H9I,81,29,68,10,7,13,5,SUP893,06-Jtigm4N,1984-04-06 12:37:56,1992-09-07 18:35:41
P000080,qzU99692C,Switchable coherent workforce,bad,8765634543812,FrG706,wVr-98J1,74,68,84,28,4,1,1,SUP152,pu-088939-FPk,2009-05-13 22:31:50,2011-02-19 18:54:31
P000081,hrG70465j,Reduced analyzing intranet,line,5573198840864,n-39141-LoO,rg-773560-JuX,31,26,40,27,24,21,91,SUP006,CJ-998921-BsX,1999-02-03 14:17:45,2016-08-05 07:00:13
P000082,Xxb77884V,Versatile systematic alliance,full,7096043306547,P-89951-RZz,TOA-35O2,83,76,6,19,16,17,44,SUP160,f-936-m5L,1979-05-19 15:55:08,1995-07-24 05:48:32
P000083,UyQ72401e,Decentralized dedicated superstructure,guy,9471488086472,80-HuIqi1V,81-fGKpm0X,49,14,67,40,12,3,97,SUP331,Dc-418035-nec,2018-11-23 14:56:18,2021-07-22 15:41:09
P000084,xQk78654R,Open-architected tertiary contingency,throughout,6240362357099,81-buCQA7M,hV-9935,67,1,17,18,17,13,27,SUP545,f-768-s2A,1995-09-07 07:15:07,1996-09-16 17:31:21
P000085,erD70287X,Right-sized contextually-based standardization,position,7504254123001,NI-395782-AqL,Na-417770-rvk,52,70,58,12,5,21,97,SUP645,ZE-2024,2015-10-07 03:52:58,2020-12-04 19:49:42
P000086,TWw61320t,Persevering optimizing complexity,top,0486248083447,OdG-76q0,a-42614-BgQ,35,1,54,8,19,22,96,SUP454,42-obBOg9v,2015-03-19 22:21:04,2022-11-02 10:14:45
P000087,VuK69976H,Vision-oriented zero administration definition,ahead,2118707635185,ABM743,O-77221-HcO,87,16,30,41,23,2,68,SUP127,EZx-34n8,2024-06-07 07:44:41,2024-08-10 00:04:03
P000088,LPs95295z,Centralized cohesive architecture,effort,4550040957377,NDh234,E-693-r5c,96,17,69,26,24,22,84,SUP134,fZ-332275-ouX,1979-06-24 09:52:11,1992-01-22 14:03:45
P000089,aiK47606K,Synergized dynamic groupware,plan,7242449328021,ehM-27t2,79-VOxcn2j,53,43,47,7,7,4,1,SUP257,YlH-62w1,1975-05-06 20:33:21,2008-09-18 09:02:02
P000090,rtg82317o,Polarized systemic intranet,treatment,5608011882261,E-225-X9O,K-24958-mZO,84,15,72,41,11,19,90,SUP046,bS-2835,1993-10-11 20:56:21,2011-04-25 12:36:32
P000091,Yyx05761Y,Exclusive mobile process improvement,write,8494979169141,fW-227443-ZhF,DI-7180,10,41,42,48,13,22,91,SUP781,rBR536,1983-11-09 15:20:47,2020-09-11 08:36:49
P000092,MeR42419D,Up-sized transitional encryption,not,1593000927204,O-75180-xgJ,PPn-88G2,9,59,5,13,5,20,85,SUP183,Qi-7766,1974-10-01 07:09:55,2008-04-26 03:17:10
P000093,yLv66713C,Decentralized multi-tasking website,treat,0387353630376,klS082,hPp785,60,31,54,34,25,12,4,SUP115,pt-916360-yUm,1995-08-22 01:46:19,2009-09-15 20:46:15
P000094,HGF10734s,Centralized even-keeled protocol,military,7484209567428,M-154-J9R,34-tgSXb4E,90,14,14,4,17,6,81,SUP268,Rj-424913-Mal,1989-01-15 11:05:41,2018-08-13 19:50:05
