id,code,name,address,zip,city,province,country,contact,created_at,updated_at
1,YQZZNL56,Heemskerk cargo hub,Karlijndreef 281,4002 AS,Heemskerk,Friesland,NL,"{'name': 'Fem Keijzer', 'phone': '(078) 0013363', 'email': 'blamore@example.net'}",1983-04-13 04:59:55,2007-02-08 20:11:00
2,GIOMNL90,Petten longterm hub,Owenweg 731,4615 RB,Petten,Noord-Holland,NL,"{'name': 'Maud Adryaens', 'phone': '+31836 752702', 'email': 'nickteunissen@example.com'}",2008-02-22 19:55:39,2009-08-28 23:15:50
3,VCKINLLK,Naaldwijk distribution hub,Izesteeg 807,1636 KI,Naaldwijk,Utrecht,NL,"{'name': 'Frederique van Wallaert', 'phone': '(009) 4870289', 'email': 'jelle66@example.net'}",2001-05-11 10:43:52,2017-12-19 14:32:38
4,IPJMNLSY,Bosch en Duin storage location,Fabianweg 71,5701 IA,Bosch en Duin,Flevoland,NL,"{'name': 'Oscar Hemma van Allemanië-Hoes', 'phone': '058 2995479', 'email': 'suze00@example.org'}",2007-10-19 09:43:20,2019-11-02 07:30:52
5,QAQMNLCL,Hoogeveen distribution facility,Noaboulevard 7,1735XO,Hoogeveen,Zuid-Holland,NL,"{'name': 'Sjoerd Sterkman', 'phone': '0943-736616', 'email': 'imkehermans@example.org'}",2017-11-03 19:21:26,2023-05-30 16:45:10
6,JBDTNLFX,Loosdrecht longterm center,Yasminebaan 422,8254 IY,Loosdrecht,Overijssel,NL,"{'name': 'Joey die Pelser', 'phone': '(0930)-760273', 'email': 'welberts@example.com'}",2018-02-11 22:45:46,2022-09-19 14:08:52
7,ZSLSNL4C,Obdam distribution facility,Larshof 775,1693NI,Obdam,Noord-Brabant,NL,"{'name': 'Michael Ramaker', 'phone': '(097) 5523868', 'email': 'jacepsjulian@example.com'}",1996-07-31 05:51:38,2017-11-16 02:39:09
8,BQHMNLPJ,Idaerd distribution hub,Ceylinsteeg 95,4742MW,Idaerd,Zuid-Holland,NL,"{'name': 'Matthijs Verbeeck', 'phone': '+3137-5511465', 'email': 'jspreeuw@example.org'}",1994-10-07 19:48:40,2002-01-17 11:16:57
9,QRVXNLIF,Walsoorden air and road location,Lizalaan 22,1950 YO,Walsoorden,Noord-Holland,NL,"{'name': 'Sofia Kisman-Gellemeyer', 'phone': '+3118-4888384', 'email': 'jelle43@example.org'}",1998-07-25 20:29:56,2024-03-17 03:08:13
10,HXVLNLIJ,Wolvega distribution center,Juleshof 12,9646AO,Wolvega,Gelderland,NL,"{'name': 'Demi van Cuijck', 'phone': '+31(0)64 8859265', 'email': 'amelie56@example.com'}",1992-10-02 11:55:52,2019-06-17 00:14:43
